title,mediaLink,siteName,siteLink,collaborators,projectBrief,datesActive
AR Rhino,https://4kpjg26vvp4yt70oow5u.vuw-test.sandcats.io/wp-content/uploads/2017/03/Park-mock-up.jpg,,https://4kpjg26vvp4yt70oow5u.vuw-test.sandcats.io/,Jonathon Bishop Stefan Peacock Jeff Jones Sebastian Paz,An app utilising AR technology and game-play theory to teach the politics and psychology of poaching and conservation.,
MRX,https://www.youtube.com/watch?v=t_iDRwOQMi8,,http://computergraphics.ac.nz/mrx/,Taehyun Rhee Andrew Chalmers Kieran Carnegie Benjamin Allen Lohit Petikam Neil Dodgson,MR360: Mixed Reality Rendering for 360? Panoramic Videos,
Until Jesse,https://www.youtube.com/watch?v=WFaCSHVh1w0,,https://miriamruthross.wordpress.com/until-jesse-360/,Miriam Ross Joseph Hendren Raqi Syed Kevin Romond,"Until Jesse 360?is a 360-degree short cinematic film that is best experienced in VR headsets such as the Vive, Oculus Rift or Samsung Gear.",
Colliding Worlds,https://www.youtube.com/watch?v=u8K5meExnfU,,https://www.victoria.ac.nz/about/strengths/digital-futures/research-projects,Neil Dodgson Miriam Ross Matt Plummer Nathan Stewart Kieran Carnegie Byron Mallett Andre Geldenhuis Ocean Mercier Geoffrey Batchen Raqi Syed Christopher Maymon Warren Butcher,"This project canvases a range of VR activity at Victoria (visualised in this site) and stages a suite of colliding conversations that explore how staff and students are contribing to the hot topics in virtual reality and digital creation. The video above was captured on a Samusung Gear360 camera, allowing a 'behind the camera' look into the filming of the Colliding Conversations videos.",
Trash Praxis,https://www.youtube.com/watch?v=y6R-Jx9W5c0,,https://www.youtube.com/watch?v=Rrm8o45W_dI,Raqi Syed Kevin Romond Alfio Leotta,"A performance-captured, computer-generated talk show experience",
Virtual Reality Showcase,https://www.tepapa.govt.nz/sites/default/files/styles/hero_image_1800x900/public/tepapa-talks-1800x700.jpg,,https://www.victoria.ac.nz/fad/about/news/victoria-university-and-te-papa-team-up-to-bring-virtual-reality-to-life,T. J. Moleta Douglas Easterly Leon Gurevitch,"A Te Papa Talks event run in concert with the Victoiria University of Wellington Digital Futures theme, showcasing current thinking and practice in VR/AR filmmaking and creative enterprise.",
Dream Flux,https://www.youtube.com/watch?v=DR2Qf3ShGAg,,https://www.dreamflux.io/,Taehyun Rhee Andrew Chalmers Lohit Petikam,"Immersive lighting and composition for VR, AR & MR wich seamlessly blends digital content with 360 videos.",
ModRule,https://vimeo.com/244142266,,https://www.victoria.ac.nz/architecture/research/current-phd-research/sky-lo-tian-tian,Sky Lo Tian Tian Marc Aurel Schnabel T. J. Moleta,"Sky Lo?s research utilises VR and gamification to investigate the possibility for the participatory design of high-rise residences in high-density, urban environments.",
The Museum of Gamers,https://www.youtube.com/watch?v=ZkU6dO17bus,,http://www.themuseumofgamers.org/,Serdar Aydin Marc Aurel Schnabel T.J. Moleta,"The Museum of Gamers is an exploratory output of Decoding Kashgar, a digital heritage project that brings together the fields of new media, cultural heritage, computer-aided architectural design and game design. The primary objective of this research is to study active participatory content making processes through interactive and online digital media. ",
VRroom Driving Simulator,,,,Neil Dodgson Tana Tanoi,,
Landscape-scale AR,,,,Neil Dodgson Lakshmi Krishnan,,
Training Novice Conductors,,,,Neil Dodgson Kenneth Young Donald Maurice,,
